iter	Logloss
0	0.6914407309
1	0.6893635906
2	0.6867844639
3	0.6843333541
4	0.6826547191
5	0.6806642845
6	0.6787704617
7	0.6772710944
8	0.6752877878
9	0.6739478079
10	0.6720435169
11	0.6703258037
12	0.6685927997
13	0.666667109
14	0.6648246073
15	0.6629017548
16	0.6611397516
17	0.6595579882
18	0.6580210834
19	0.6561213835
20	0.6549425752
21	0.652973966
22	0.6513308369
23	0.6496313216
24	0.6480396668
25	0.6466252354
26	0.6453927952
27	0.6438595126
28	0.6427560631
29	0.6412974784
30	0.6398434107
31	0.6386285475
32	0.6372184702
33	0.635671321
34	0.634491545
35	0.6334363029
36	0.6315254387
37	0.630276271
38	0.6288635567
39	0.6278305894
40	0.6267045844
41	0.6251523259
42	0.6241668659
43	0.6224226904
44	0.6210820184
45	0.6201557257
46	0.6188164875
47	0.6180081349
48	0.616965152
49	0.6154439047
50	0.6143374078
51	0.6133871838
52	0.6124350368
53	0.6115534372
54	0.6109189218
55	0.6095011528
56	0.6086648686
57	0.6076966923
58	0.6066302602
59	0.6057519992
60	0.6046573539
61	0.6038582049
62	0.6031880549
63	0.6018444251
64	0.6003689299
65	0.599005401
66	0.5975531133
67	0.5967790941
68	0.595747814
69	0.5946629511
70	0.5935423773
71	0.5926093878
72	0.5917299678
73	0.5902535847
74	0.5891040728
75	0.5880593043
76	0.5872010751
77	0.5858669192
78	0.5851588206
79	0.5840023735
80	0.5826698175
81	0.5818809948
82	0.5809663062
83	0.5801332348
84	0.5793980389
85	0.5783817826
86	0.5774079227
87	0.5764985332
88	0.575273623
89	0.574411512
90	0.5732578007
91	0.5724343587
92	0.5717224173
93	0.5710249439
94	0.5703085842
95	0.5694766667
96	0.568581674
97	0.5677757241
98	0.5668808174
99	0.5661446706
100	0.565243327
101	0.5642833123
102	0.5636415464
103	0.5626878901
104	0.5621784756
105	0.5609992943
106	0.5604657232
107	0.5598553899
108	0.5586771039
109	0.5578957501
110	0.5569743229
111	0.5560023797
112	0.5549678201
113	0.5541720241
114	0.5537124669
115	0.5529778255
116	0.5518974973
117	0.5509331089
118	0.5502334599
