iter	Passed	Remaining
0	59	59672
1	62	31313
2	66	21978
3	69	17246
4	71	14267
5	74	12311
6	77	11018
7	80	9946
8	83	9180
9	87	8618
10	91	8213
11	94	7809
12	98	7491
13	102	7215
14	106	6976
15	110	6822
16	115	6652
17	118	6488
18	121	6296
19	125	6128
20	128	5992
21	131	5855
22	135	5736
23	138	5642
24	142	5544
25	145	5437
26	148	5335
27	151	5247
28	154	5189
29	158	5123
30	161	5055
31	164	4970
32	168	4939
33	171	4868
34	174	4816
35	178	4768
36	182	4752
37	187	4737
38	190	4694
39	195	4700
40	200	4678
41	203	4634
42	206	4588
43	210	4566
44	214	4544
45	217	4502
46	221	4484
47	225	4464
48	228	4434
49	232	4419
50	236	4403
51	241	4401
52	245	4380
53	248	4353
54	251	4327
55	254	4298
56	258	4271
57	261	4252
58	266	4246
59	269	4215
60	273	4204
61	279	4222
62	282	4201
63	287	4203
64	291	4190
65	294	4173
66	298	4160
67	302	4142
68	307	4145
69	310	4130
70	314	4117
71	319	4116
72	326	4150
73	329	4128
74	333	4111
75	336	4087
76	340	4082
77	343	4062
78	347	4046
79	350	4032
80	354	4019
81	360	4037
82	365	4032
83	368	4020
84	372	4006
85	375	3992
86	379	3987
87	383	3970
88	386	3954
89	391	3962
90	397	3973
91	400	3950
92	404	3940
93	408	3936
94	412	3929
95	416	3918
96	419	3907
97	424	3908
98	429	3908
99	432	3893
100	435	3876
101	440	3880
102	444	3869
103	448	3860
104	452	3858
105	456	3849
106	460	3842
107	463	3829
108	467	3817
109	471	3813
110	474	3798
111	478	3791
112	481	3778
113	485	3775
114	491	3781
115	495	3777
116	498	3765
117	503	3761
118	507	3754
119	511	3748
120	515	3741
121	518	3731
122	522	3721
123	525	3715
124	529	3705
125	532	3695
126	536	3686
127	540	3680
128	543	3669
129	546	3658
130	551	3659
131	555	3653
132	558	3643
133	561	3628
134	565	3625
135	569	3617
136	573	3610
137	576	3599
138	579	3589
139	583	3583
140	586	3573
141	590	3569
142	594	3560
143	597	3553
144	601	3546
145	605	3542
146	610	3540
147	613	3534
148	618	3532
149	621	3522
150	624	3513
151	628	3507
152	631	3498
153	635	3491
154	638	3479
155	641	3472
156	644	3462
157	648	3455
158	651	3447
159	655	3439
160	658	3432
161	662	3426
162	666	3420
163	669	3413
164	672	3403
165	676	3399
166	679	3390
167	683	3383
168	686	3377
169	689	3368
170	693	3364
171	697	3356
172	700	3346
173	702	3336
174	706	3330
175	710	3324
176	713	3318
177	717	3313
178	721	3308
179	724	3299
180	728	3298
181	732	3293
182	736	3287
183	739	3280
184	743	3273
185	745	3264
